"","year","mun","trat","pto","rs","value","q_minwages"
"273",2005,"Tepalcatepec",0,0,"rs_w1",446,1
"274",2005,"Buenavista",0,0,"rs_w1",109,1
"275",2005,"Ziracuaretiro",1,0,"rs_w1",117,1
"276",2005,"Nuevo Parangaricutiro",1,0,"rs_w1",171,1
"277",2005,"Nahuatzen",0,0,"rs_w1",18,1
"278",2005,"Coalcoman",0,0,"rs_w1",8,1
"279",2005,"Tumbiscatio",0,0,"rs_w1",10,1
"280",2005,"Aguililla",0,0,"rs_w1",12,1
"281",2005,"Tancitaro",1,0,"rs_w1",474,1
"282",2005,"Cotija",1,0,"rs_w1",14,1
"283",2005,"Chilchota",1,0,"rs_w1",8,1
"284",2005,"Jacona",0,0,"rs_w1",424,1
"285",2005,"Jiquilpan",0,0,"rs_w1",92,1
"286",2005,"La Piedad",0,0,"rs_w1",586,1
"287",2005,"Los Reyes",1,0,"rs_w1",240,1
"288",2005,"Periban",1,0,"rs_w1",9,1
"289",2005,"Sahuayo",0,0,"rs_w1",250,1
"290",2005,"Tinguindin",1,0,"rs_w1",0,1
"291",2005,"Tocumbo",1,0,"rs_w1",283,1
"292",2005,"Venustiano Carranza",0,0,"rs_w1",2,1
"293",2005,"Zamora",0,0,"rs_w1",1871,1
"294",2005,"Penjamillo",0,0,"rs_w1",0,1
"295",2005,"Pajacuaran",0,0,"rs_w1",2,1
"296",2005,"Vista Hermosa",0,0,"rs_w1",174,1
"297",2005,"Tanhuato",0,0,"rs_w1",1,1
"298",2005,"Brisenas",0,0,"rs_w1",16,1
"299",2005,"Zinaparo",0,0,"rs_w1",0,1
"300",2005,"Churintzio",0,0,"rs_w1",0,1
"301",2005,"Numaran",0,0,"rs_w1",34,1
"302",2005,"Tangancicuaro",1,0,"rs_w1",101,1
"303",2005,"Purepero",1,0,"rs_w1",86,1
"304",2005,"Tlazazalca",0,0,"rs_w1",7,1
"305",2005,"Cojumatlan de Regules",0,0,"rs_w1",0,1
"306",2005,"Chavinda",0,0,"rs_w1",4,1
"307",2005,"Tangamandapio",1,0,"rs_w1",4,1
"308",2005,"Yurecuaro",0,0,"rs_w1",10,1
"309",2005,"Ecuandureo",0,0,"rs_w1",8,1
"310",2005,"Villamar",0,0,"rs_w1",4,1
"311",2005,"Ixtlan",0,0,"rs_w1",10,1
"312",2005,"Marcos Castellanos",0,0,"rs_w1",6,1
"313",2005,"Hidalgo",1,0,"rs_w1",190,1
"314",2005,"Jungapeo",1,0,"rs_w1",0,1
"315",2005,"Zitacuaro",1,0,"rs_w1",586,1
"316",2005,"Angangueo",0,0,"rs_w1",2,1
"317",2005,"Tlalpujahua",0,0,"rs_w1",81,1
"318",2005,"Ocampo",1,0,"rs_w1",1,1
"319",2005,"Maravatio",0,0,"rs_w1",54,1
"320",2005,"Contepec",0,0,"rs_w1",35,1
"321",2005,"Huetamo",0,0,"rs_w1",89,1
"322",2005,"San Lucas",0,0,"rs_w1",144,1
"323",2005,"Irimbo",0,0,"rs_w1",3,1
"324",2005,"Aporo",0,0,"rs_w1",0,1
"325",2005,"Tuxpan",1,0,"rs_w1",272,1
"326",2005,"Senguio",0,0,"rs_w1",0,1
"327",2005,"Tiquicheo",0,0,"rs_w1",0,1
"328",2005,"Tuzantla",0,0,"rs_w1",0,1
"329",2005,"Juarez",1,0,"rs_w1",0,1
"330",2005,"Lazaro Cardenas",0,0,"rs_w1",988,1
"331",2006,"Coahuayana",0,0,"rs_w1",26,1
"332",2006,"Aquila",0,0,"rs_w1",20,1
"333",2006,"Morelia",0,0,"rs_w1",12712,1
"334",2006,"Nocupetaro",0,0,"rs_w1",20,1
"335",2006,"Patzcuaro",1,0,"rs_w1",321,1
"336",2006,"Quiroga",1,0,"rs_w1",185,1
"337",2006,"Tacambaro",1,0,"rs_w1",335,1
"338",2006,"Turicato",1,0,"rs_w1",52,1
"339",2006,"Zacapu",0,0,"rs_w1",483,1
"340",2006,"Tarimbaro",1,0,"rs_w1",307,1
"341",2006,"Acuitzio",1,0,"rs_w1",56,1
"342",2006,"Ario",1,0,"rs_w1",125,1
"343",2006,"Erongaricuaro",1,0,"rs_w1",20,1
"344",2006,"La Huacana",0,0,"rs_w1",24,1
"345",2006,"Huiramba",1,0,"rs_w1",20,1
"346",2006,"Lagunillas",1,0,"rs_w1",44,1
"347",2006,"Madero",1,0,"rs_w1",114,1
"348",2006,"Salvador Escalante",1,0,"rs_w1",211,1
"349",2006,"Tzintzuntzan",1,0,"rs_w1",29,1
"350",2006,"Angamacutiro",0,0,"rs_w1",20,1
"351",2006,"Jose Sixto Verduzco",0,0,"rs_w1",20,1
"352",2006,"Morelos",0,0,"rs_w1",20,1
"353",2006,"Panindicuaro",0,0,"rs_w1",20,1
"354",2006,"Puruandiro",0,0,"rs_w1",155,1
"355",2006,"Churumuco",0,0,"rs_w1",20,1
"356",2006,"Zinapecuaro",1,0,"rs_w1",32,1
"357",2006,"Querendaro",0,0,"rs_w1",68,1
"358",2006,"Indaparapeo",0,0,"rs_w1",68,1
