"","gini","year","cve","mun_name","pto","trat_2","date"
"265",0.198920713989207,2003,"L23","Jose Sixto Verduzco",0,0,2003-03-01
"266",0.340194174757281,2003,"L24","Morelos",0,0,2003-03-01
"267",0.279815892784622,2003,"L25","Panindicuaro",0,0,2003-03-01
"268",0.46782464846981,2003,"L26","Penjamillo",0,0,2003-03-01
"269",0.372673434856176,2003,"L27","Puruandiro",0,0,2003-03-01
"270",0.1,2003,"M45","Churumuco",0,0,2003-03-01
"271",0.383904692438609,2003,"N97","Tlalpujahua",0,0,2003-03-01
"272",0.383415435139573,2003,"O21","Tepalcatepec",0,0,2003-03-01
"273",0.362846768336964,2003,"O22","Buenavista",0,0,2003-03-01
"274",0.207261292166953,2003,"O23","Pajacuaran",0,0,2003-03-01
"275",0.410176164299062,2003,"O24","Zinapecuaro",0,1,2003-03-01
"276",0.222670431625655,2003,"O25","Querendaro",0,0,2003-03-01
"277",0.2172034564022,2003,"O26","Indaparapeo",0,0,2003-03-01
"278",0.243652457488936,2003,"O27","Ocampo",0,1,2003-03-01
"279",0.368976651763537,2003,"O28","Vista Hermosa",0,0,2003-03-01
"280",0.313890926876987,2003,"O29","Tanhuato",0,0,2003-03-01
"281",0.245140480434598,2003,"O30","Brisenas",0,0,2003-03-01
"282",0,2003,"O31","Zinaparo",0,0,2003-03-01
"283",0.252789612497464,2003,"O32","Churintzio",0,0,2003-03-01
"284",0.374467124397402,2003,"O33","Numaran",0,0,2003-03-01
"285",0.35557807946161,2003,"O34","Maravatio",0,0,2003-03-01
"286",0.415483468086505,2003,"O35","Contepec",0,0,2003-03-01
"287",0.400154106950223,2003,"O36","Huetamo",0,0,2003-03-01
"288",0.237410490772545,2003,"O37","San Lucas",0,0,2003-03-01
"289",0.33822085535245,2003,"O39","Tangancicuaro",0,1,2003-03-01
"290",0.347358685104318,2003,"O40","Purepero",0,1,2003-03-01
"291",0.235897435897436,2003,"O41","Tlazazalca",0,0,2003-03-01
"292",0.49020618556701,2003,"O43","Cojumatlan de Regules",0,0,2003-03-01
"293",0.214367450731087,2003,"O44","Irimbo",0,0,2003-03-01
"294",0.158730158730159,2003,"O45","Aporo",0,0,2003-03-01
"295",0.382388353334645,2003,"O46","Tuxpan",0,1,2003-03-01
"296",0.17741935483871,2003,"O47","Senguio",0,0,2003-03-01
"297",0.222728752849235,2003,"O48","Charo",0,0,2003-03-01
"298",0.457441513190642,2003,"O49","Alvaro Obregon",0,0,2003-03-01
"299",0.314318762936807,2003,"O50","Chavinda",0,0,2003-03-01
"300",0.289044289044289,2003,"O51","Tangamandapio",0,1,2003-03-01
"301",0.404749117913714,2003,"O52","Ziracuaretiro",0,1,2003-03-01
"302",0.292992453411366,2003,"O53","Nuevo Parangaricutiro",0,1,2003-03-01
"303",0.251737559077009,2003,"O54","Coeneo",0,0,2003-03-01
"304",0.345811051693405,2003,"O55","Jimenez",0,0,2003-03-01
"305",0.343678055910835,2003,"O56","Yurecuaro",0,0,2003-03-01
"306",0.17071791972866,2003,"O59","Nahuatzen",0,0,2003-03-01
"307",0.220038632737045,2003,"O60","Ecuandureo",0,0,2003-03-01
"308",0.392956713132795,2003,"O62","Villamar",0,0,2003-03-01
"309",0.349867239632463,2003,"O63","Coalcoman",0,0,2003-03-01
